product_name,product_code,grade,formula,molar_mass,image_url,pakaging,price
2-CHLOROETHYLCHLOROFORMATE,0103249-500G,98% puriss for synthesis [627-11-2],H1B1325,A1D1C1328,,500G," 8,250.00 "
2-CHLOROETHYLETHER,010360-100ML,99% (GC),H1B1326,A1D1C1329,,100ML, 900.00 
2-CHLOROETHYLETHER,010360-500ML,99% (GC),H1B1327,A1D1C1330,,500ML," 3,200.00 "
2-CHLOROETHYLISOCYANATE,0103319-25G,~97% puriss for synthesis,H1B1328,A1D1C1331,,25G," 3,000.00 "
2-CHLOROETHYLISOCYANATE,0103319-100G,~97% puriss for synthesis,H1B1329,A1D1C1332,,100G," 10,800.00 "
Chloroethylisopropylcarbonate,0103304-100G,98% puriss for synthesis [98298-66-9],H1B1330,A1D1C1333,,100G," 1,800.00 "
Chloroethylisopropylcarbonate,0103304-500G,98% puriss for synthesis [98298-66-9],H1B1331,A1D1C1334,,500G," 7,500.00 "
4-(2-CHLOROETHYL)MORPHOLINE HYDROCHLORIDE,0103115-100G,,H1B1332,A1D1C1335,,100G," 1,100.00 "
4-(2-CHLOROETHYL)MORPHOLINE HYDROCHLORIDE,0103115-500G,,H1B1333,A1D1C1336,,500G," 3,000.00 "
1-(2-CHLOROETHYL) PIPERIDINE HYDROCHLORIDE,010330-100G,98% puriss for synthesis,H1B1334,A1D1C1337,,100G, 970.00 
1-(2-CHLOROETHYL) PIPERIDINE HYDROCHLORIDE,010330-500G,98% puriss for synthesis,H1B1335,A1D1C1338,,500G," 4,500.00 "
1-(2-CHLOROETHYL)PYRROLIDINE HYDROCHLORIDE,0103184-100G,,H1B1336,A1D1C1339,,100G," 1,550.00 "
1-(2-CHLOROETHYL)PYRROLIDINE HYDROCHLORIDE,0103184-500G,,H1B1337,A1D1C1340,,500G," 6,600.00 "
2-CHLOROETHYL-P-TOLUENESULFONATE,0103250-25G,97% puriss for synthesis [80-41-1],H1B1338,A1D1C1341,,25G," 1,500.00 "
2-CHLOROETHYL-P-TOLUENESULFONATE,0103250-100G,97% puriss for synthesis [80-41-1],H1B1339,A1D1C1342,,100G," 4,800.00 "
3-CHLORO-4-FLUORO ANILINE,010391-100G,99% puriss for synthesis,H1B1340,A1D1C1343,,100G," 1,200.00 "
3-CHLORO-4-FLUORO ANILINE,010391-500G,99% puriss for synthesis,H1B1341,A1D1C1344,,500G," 4,000.00 "
4-CHLORO-2-FLUOROBENZALDEHYDE,0103334-5G,98% puriss for synthesis [61072-56-8],H1B1342,A1D1C1345,,5G," 4,000.00 "
4-CHLORO-2-FLUOROBENZALDEHYDE,0103334-25G,98% puriss for synthesis [61072-56-8],H1B1343,A1D1C1346,,25G," 12,000.00 "
2-Chloro-4-fluorobenzoic acid,0103278-5G,97% puriss for synthesis [2252-51-9],H1B1344,A1D1C1347,,5G," 1,500.00 "
2-Chloro-4-fluorobenzoic acid,0103278-25G,97% puriss for synthesis [2252-51-9],H1B1345,A1D1C1348,,25G," 5,500.00 "
2-CHLORO-5-FLUORO BENZOIC ACID,0103235-25G,99% puriss for synthesis,H1B1346,A1D1C1349,,25G," 1,955.00 "
2-CHLORO-5-FLUORO BENZOIC ACID,0103235-100G,99% puriss for synthesis,H1B1347,A1D1C1350,,100G," 7,550.00 "
2-CHLORO-6-FLUOROPHENOL,0103339-5G,98% puriss for synthesis [2040-90-6],H1B1348,A1D1C1351,,5G," 4,000.00 "
2-CHLORO-6-FLUOROPHENOL,0103339-25G,98% puriss for synthesis [2040-90-6],H1B1349,A1D1C1352,,25G," 17,500.00 "
CHLOROFORM,010333-1000ML,99% AR,H1B1350,A1D1C1353,,1000ML, 590.00 
CHLOROFORM,010333-2500ML,99% AR,H1B1351,A1D1C1354,,2500ML," 1,400.00 "
CHLOROFORM,060334-1000ML,99% EL,H1B1352,A1D1C1355,,1000ML, 650.00 
CHLOROFORM,070303-1000ML,for HPLC,H1B1353,A1D1C1356,,1000ML, 870.00 
CHLOROFORM,070303-2500ML,for HPLC,H1B1354,A1D1C1357,,2500ML," 1,700.00 "
CHLOROFORM,050304-1000ML,for UV SPECTROSCOPY,H1B1355,A1D1C1358,,1000ML, 900.00 
CHLOROFORM D,0103217-100ML,99.8% D ATOM for NMR,H1B1356,A1D1C1359,,100ML," 5,000.00 "
"CHLOROFORM ACS,",110302-500ML,ISO,H1B1357,A1D1C1360,,500ML, 600.00 
Chloroform,0103305-250ML,"for Residual solvent, Impurity profile & Headspace analysis. Used as a GC Grade solvent",H1B1358,A1D1C1361,,250ML, 500.00 
CHLOROFORM ANHYDROUS,0103327-500ML,,H1B1359,A1D1C1362,,500ML, 385.00 
2-CHLORO-5-HYDROXYPYRIDINE (6-Chloro-3-pyridinol),0103344-5G,98% puriss for synthesis [41288-96-4],H1B1360,A1D1C1363,,5G," 4,500.00 "
2-CHLORO-5-HYDROXYPYRIDINE (6-Chloro-3-pyridinol),0103344-25G,98% puriss for synthesis [41288-96-4],H1B1361,A1D1C1364,,25G," 20,000.00 "
2-Chloro-4-iodoaniline,0103279-5G,98% puriss for synthesis [42016-93-3],H1B1362,A1D1C1365,,5G," 1,950.00 "
2-Chloro-4-iodoaniline,0103279-25G,98% puriss for synthesis [42016-93-3],H1B1363,A1D1C1366,,25G," 6,800.00 "
2-Chloro-4-iodoaniline,0103279-100G,98% puriss for synthesis [42016-93-3],H1B1364,A1D1C1367,,100G," 20,500.00 "
5-CHLOROISATIN,0103254-25G,98% puriss for synthesis [17630-76-1],H1B1365,A1D1C1368,,25G," 1,200.00 "
5-CHLOROISATIN,0103254-100G,98% puriss for synthesis [17630-76-1],H1B1366,A1D1C1369,,100G," 3,850.00 "
2-CHLOROISONICOTINIC ACID 99%,0103335-25G,97% puriss for synthesis [6313-54-8],H1B1367,A1D1C1370,,25G," 3,000.00 "
2-CHLOROISONICOTINIC ACID 99%,0103335-100G,97% puriss for synthesis [6313-54-8],H1B1368,A1D1C1371,,100G," 9,000.00 "
2-CHLORO-2-METHYLBUTANE (TERT-AMYL CHLORIDE),0103330-25G,95% puriss for synthesis [594-36-5],H1B1369,A1D1C1372,,25G," 2,400.00 "
2-CHLORO-2-METHYLBUTANE (TERT-AMYL CHLORIDE),0103330-100G,95% puriss for synthesis [594-36-5],H1B1370,A1D1C1373,,100G," 8,000.00 "
CHLOROMETHYLMETHYLETHER,0103259-25G,90 - 95% pract. for synthesis [107-30-2],H1B1371,A1D1C1374,,25G," 2,200.00 "
CHLOROMETHYLMETHYLETHER,0103259-100G,90 - 95% pract. for synthesis [107-30-2],H1B1372,A1D1C1375,,100G," 7,000.00 "
CHLOROMETHYLMETHYLETHER,0103259-500G,90 - 95% pract. for synthesis [107-30-2],H1B1373,A1D1C1376,,500G," 25,500.00 "
1-CHLOROMETHYL NAPHTHALENE,0103361-100G,95% puriss for synthesis [86-52-2],H1B1374,A1D1C1377,,100G," 2,500.00 "
1-CHLOROMETHYL NAPHTHALENE,0103361-500G,95% puriss for synthesis [86-52-2],H1B1375,A1D1C1378,,500G," 8,500.00 "
2-CHLOROMETHYLPYRIDINE HCL,0103251-5G,97% puriss for synthesis [6959-47-3],H1B1376,A1D1C1379,,5G, 750.00 
2-CHLOROMETHYLPYRIDINE HCL,0103251-25G,97% puriss for synthesis [6959-47-3],H1B1377,A1D1C1380,,25G," 3,200.00 "
2-CHLOROMETHYLPYRIDINE HCL,0103251-100G,97% puriss for synthesis [6959-47-3],H1B1378,A1D1C1381,,100G," 8,500.00 "
3-(CHLOROMETHYL)PYRIDINE HYDROCHLORIDE,0103209-25G,98% puriss for synthesis,H1B1379,A1D1C1382,,25G," 2,100.00 "
3-(CHLOROMETHYL)PYRIDINE HYDROCHLORIDE,0103209-100G,98% puriss for synthesis,H1B1380,A1D1C1383,,100G," 6,700.00 "
Chloromethyl trimethyl silane,0103306-25G,98% puriss for synthesis [2344-80-1],H1B1381,A1D1C1384,,25G," 2,000.00 "
Chloromethyl trimethyl silane,0103306-100G,98% puriss for synthesis [2344-80-1],H1B1382,A1D1C1385,,100G," 7,800.00 "
Chloromethyl trimethyl silane,0103306-500G,98% puriss for synthesis [2344-80-1],H1B1383,A1D1C1386,,500G," 27,500.00 "
2-CHLORONICOTINIC ACID,0103206-25G,99% puriss for synthesis,H1B1384,A1D1C1387,,25G," 1,300.00 "
2-CHLORONICOTINIC ACID,0103206-100G,99% puriss for synthesis,H1B1385,A1D1C1388,,100G," 5,000.00 "
6-Chloronicotinic acid,0103293-5G,99% puriss for synthesis [5326-23-8],H1B1386,A1D1C1389,,5G," 1,300.00 "
6-Chloronicotinic acid,0103293-25G,99% puriss for synthesis [5326-23-8],H1B1387,A1D1C1390,,25G," 4,400.00 "
6-Chloronicotinic acid,0103293-100G,99% puriss for synthesis [5326-23-8],H1B1388,A1D1C1391,,100G," 14,000.00 "
6-Chloronicotinylchloride,0103294-5G,98% puriss for synthesis [66608-11-5],H1B1389,A1D1C1392,,5G," 2,500.00 "
6-Chloronicotinylchloride,0103294-25G,98% puriss for synthesis [66608-11-5],H1B1390,A1D1C1393,,25G," 7,000.00 "
4-CHLORO-3-NITROBENZENESULPHONIC ACID POTASSIUM SALT,010357-25G,,H1B1391,A1D1C1394,,25G," 2,000.00 "
2-CHLORO-5-NITROBENZOIC ACID,010336-100G,98%,H1B1392,A1D1C1395,,100G, 800.00 
2-CHLORO-5-NITROBENZOIC ACID,010336-500G,98%,H1B1393,A1D1C1396,,500G," 3,000.00 "
4-CHLORO-2-NITROPHENOL,0103198-25G,98%,H1B1394,A1D1C1397,,25G," 1,050.00 "
4-CHLORO-2-NITROPHENOL,0103198-100G,98%,H1B1395,A1D1C1398,,100G," 3,500.00 "
4-CHLORO-2-NITROPHENOL,0103198-500G,98%,H1B1396,A1D1C1399,,500G," 13,500.00 "
2-CHLORO-5-NITROPYRIDINE,0103343-25G,98% puriss for synthesis [4548-45-2],H1B1397,A1D1C1400,,25G," 3,800.00 "
2-CHLORO-5-NITROPYRIDINE,0103343-100G,98% puriss for synthesis [4548-45-2],H1B1398,A1D1C1401,,100G," 11,000.00 "
3-CHLOROPERBENZOIC ACID,010338-25G,,H1B1399,A1D1C1402,,25G, 500.00 
3-CHLOROPERBENZOIC ACID,010338-100G,,H1B1400,A1D1C1403,,100G," 1,850.00 "
3-CHLOROPERBENZOIC ACID,010338-500G,,H1B1401,A1D1C1404,,500G," 6,500.00 "
4-CHLOROPHENACYL BROMIDE,0103200-100G,98%,H1B1402,A1D1C1405,,100G," 2,800.00 "
4-CHLOROPHENACYL BROMIDE,0103200-500G,98%,H1B1403,A1D1C1406,,500G," 12,000.00 "
2-CHLOROPHENOL,010361-1000ML,98+%,H1B1404,A1D1C1407,,1000ML," 1,200.00 "
2-CHLOROPHENOL,010361-2500ML,98+%,H1B1405,A1D1C1408,,2500ML," 2,400.00 "
3-CHLOROPHENOL,0103252-25G,98% puriss for synthesis [108-43-0],H1B1406,A1D1C1409,,25G, 625.00 
3-CHLOROPHENOL,0103252-100G,98% puriss for synthesis [108-43-0],H1B1407,A1D1C1410,,100G," 2,150.00 "
3-CHLOROPHENOL,0103252-500G,98% puriss for synthesis [108-43-0],H1B1408,A1D1C1411,,500G," 10,000.00 "
4-CHLOROPHENOL,010319-500G,98%,H1B1409,A1D1C1412,,500G, 625.00 
CHLOROPHENOLRED Indicator,010341-5G,,H1B1410,A1D1C1413,,5G, 425.00 
2-CHLOROPHENYL ACETIC ACID,0103188-25G,99%,H1B1411,A1D1C1414,,25G, 375.00 
2-CHLOROPHENYL ACETIC ACID,0103188-100G,99%,H1B1412,A1D1C1415,,100G, 950.00 
2-CHLOROPHENYL ACETIC ACID,0103188-500G,99%,H1B1413,A1D1C1416,,500G," 3,400.00 "
4-CHLOROPHENYLBORONIC ACID,0103337-5G,97% puriss for synthesis [1679-18-1],H1B1414,A1D1C1417,,5G," 1,250.00 "
4-CHLOROPHENYLBORONIC ACID,0103337-25G,97% puriss for synthesis [1679-18-1],H1B1415,A1D1C1418,,25G," 5,500.00 "
4-CHLOROPHENYLBORONIC ACID,0103337-100G,97% puriss for synthesis [1679-18-1],H1B1416,A1D1C1419,,100G," 16,000.00 "
4-CHLOROPHENYLISOCYANATE,0103253-100G,98% puriss for synthesis [104-12-1],H1B1417,A1D1C1420,,100G," 2,050.00 "
4-CHLOROPHENYLISOCYANATE,0103253-500G,98% puriss for synthesis [104-12-1],H1B1418,A1D1C1421,,500G," 7,000.00 "
1-(3-CHLOROPHENYL)PIPERAZINE HYDROCHLORIDE,0103229-10G,98% puriss for synthesis,H1B1419,A1D1C1422,,10G," 1,200.00 "
1-(3-CHLOROPHENYL)PIPERAZINE HYDROCHLORIDE,0103229-50G,98% puriss for synthesis,H1B1420,A1D1C1423,,50G," 4,800.00 "
4-CHLOROPHTHALIC ACID SODIUM SALT,0103239-100G,tech. For synthesis,H1B1421,A1D1C1424,,100G, 550.00 
4-CHLOROPHTHALIC ACID SODIUM SALT,0103239-500G,tech. For synthesis,H1B1422,A1D1C1425,,500G," 2,500.00 "
CHLOROPLATINIC ACID,0103104-1G,(38-40% Pt),H1B1423,A1D1C1426,,1G," 7,500.00 "
3-Chloro-1-propanol,0103286-25G,98% puriss for synthesis [627-30-5],H1B1424,A1D1C1427,,25G," 1,600.00 "
3-Chloro-1-propanol,0103286-100G,98% puriss for synthesis [627-30-5],H1B1425,A1D1C1428,,100G," 3,500.00 "
3-Chloro-1-propanol,0103286-500G,98% puriss for synthesis [627-30-5],H1B1426,A1D1C1429,,500G," 14,000.00 "
(R)-(+)-2-CHLOROPROPIONIC ACID,0103354-5G,99% puriss for synthesis [7474-05-7],H1B1427,A1D1C1430,,5G, 800.00 
(R)-(+)-2-CHLOROPROPIONIC ACID,0103354-25G,99% puriss for synthesis [7474-05-7],H1B1428,A1D1C1431,,25G," 3,500.00 "
(R)-(+)-2-CHLOROPROPIONIC ACID,0103354-100G,99% puriss for synthesis [7474-05-7],H1B1429,A1D1C1432,,100G," 12,000.00 "
(S)-(-)-2-CHLOROPROPIONIC ACID,0103355-5G,99% puriss for synthesis [29617-66-1],H1B1430,A1D1C1433,,5G, 800.00 
(S)-(-)-2-CHLOROPROPIONIC ACID,0103355-25G,99% puriss for synthesis [29617-66-1],H1B1431,A1D1C1434,,25G," 3,500.00 "
(S)-(-)-2-CHLOROPROPIONIC ACID,0103355-100G,99% puriss for synthesis [29617-66-1],H1B1432,A1D1C1435,,100G," 12,000.00 "
3-CHLOROPROPIONYL CHLORIDE,0103237-100G,97% puriss for synthesis,H1B1433,A1D1C1436,,100G, 900.00 
3-CHLOROPROPIONYL CHLORIDE,0103237-500G,97% puriss for synthesis,H1B1434,A1D1C1437,,500G," 3,600.00 "
3-CHLOROPROPIO PHENONE,0103196-25G,98%  puriss for synthesis,H1B1435,A1D1C1438,,25G," 2,200.00 "
3-CHLOROPROPIO PHENONE,0103196-100G,98%  puriss for synthesis,H1B1436,A1D1C1439,,100G," 8,000.00 "
3-CHLOROPROPIO PHENONE,0103196-500G,98%  puriss for synthesis,H1B1437,A1D1C1440,,500G," 36,000.00 "
3'-CHLOROPROPIOPHENONE,0103210-25G,98% puriss for synthesis,H1B1438,A1D1C1441,,25G," 1,600.00 "
3'-CHLOROPROPIOPHENONE,0103210-100G,98% puriss for synthesis,H1B1439,A1D1C1442,,100G," 5,600.00 "
3-CHLORO-1-PROPYNE,0103194-100G,97% (Propargyl Chloride) puriss for synthesis,H1B1440,A1D1C1443,,100G," 7,200.00 "
2-CHLOROPYRIDINE,0103192-100ML,99% puriss for synthesis,H1B1441,A1D1C1444,,100ML, 700.00 
2-CHLOROPYRIDINE,0103192-500ML,99% puriss for synthesis,H1B1442,A1D1C1445,,500ML," 2,700.00 "
4-Chloropyridine HCl,0103288-5G,97% puriss for synthesis [7379-35-3],H1B1443,A1D1C1446,,5G, 600.00 
4-Chloropyridine HCl,0103288-25G,97% puriss for synthesis [7379-35-3],H1B1444,A1D1C1447,,25G," 2,000.00 "
4-Chloropyridine HCl,0103288-100G,97% puriss for synthesis [7379-35-3],H1B1445,A1D1C1448,,100G," 7,500.00 "
2-Chloropyrimidine,0103283-5G,96% puriss for synthesis [1722-12-9],H1B1446,A1D1C1449,,5G, 750.00 
2-Chloropyrimidine,0103283-25G,96% puriss for synthesis [1722-12-9],H1B1447,A1D1C1450,,25G," 2,800.00 "
2-Chloropyrimidine,0103283-100G,96% puriss for synthesis [1722-12-9],H1B1448,A1D1C1451,,100G," 11,000.00 "
7-CHLOROQUINALDINE,0103211-25G,99% puriss for synthesis,H1B1449,A1D1C1452,,25G," 2,500.00 "
7-CHLOROQUINALDINE,0103211-100G,99% puriss for synthesis,H1B1450,A1D1C1453,,100G," 8,800.00 "
7-CHLOROQUINALDINE,0103211-500G,99% puriss for synthesis,H1B1451,A1D1C1454,,500G," 2,500.00 "
N-CHLOROSUCCINIMIDE,0103234-100G,98% puriss for synthesis,H1B1452,A1D1C1455,,100G, 415.00 
N-CHLOROSUCCINIMIDE,0103234-500G,98% puriss for synthesis,H1B1453,A1D1C1456,,500G," 1,650.00 "
CHLOROSULPHONIC ACID TECH.,010346-500ML,,H1B1454,A1D1C1457,,500ML, 715.00 
CHLOROSULFONYLISOCYANATE,0103260-25G,98% puriss for synthesis [1189-71-5],H1B1455,A1D1C1458,,25G," 1,650.00 "
CHLOROSULFONYLISOCYANATE,0103260-100G,98% puriss for synthesis [1189-71-5],H1B1456,A1D1C1459,,100G," 6,000.00 "
CHLOROSULFONYLISOCYANATE,0103260-500G,98% puriss for synthesis [1189-71-5],H1B1457,A1D1C1460,,500G," 28,000.00 "
5-CHLOROTHIOPHENE-2-CARBOXYLIC ACID puriss for synthesis,0103333-5G,98% puriss for synthesis [24065-33-6],H1B1458,A1D1C1461,,5G," 1,250.00 "
5-CHLOROTHIOPHENE-2-CARBOXYLIC ACID puriss for synthesis,0103333-25G,98% puriss for synthesis [24065-33-6],H1B1459,A1D1C1462,,25G," 4,600.00 "
5-CHLOROTHIOPHENE-2-CARBOXYLIC ACID puriss for synthesis,0103333-100G,98% puriss for synthesis [24065-33-6],H1B1460,A1D1C1463,,100G," 13,550.00 "
5-Chlorothiophene-2-sulphonyl chloride,0103291-25G,98% puriss for synthesis [2766-74-7],H1B1461,A1D1C1464,,25G," 3,600.00 "
5-Chlorothiophene-2-sulphonyl chloride,0103291-100G,98% puriss for synthesis [2766-74-7],H1B1462,A1D1C1465,,100G," 14,000.00 "
3-Chlorothiophenol,0103287-5G,98% puriss for synthesis [2037-31-2],H1B1463,A1D1C1466,,5G," 1,700.00 "
3-Chlorothiophenol,0103287-25G,98% puriss for synthesis [2037-31-2],H1B1464,A1D1C1467,,25G," 4,500.00 "
4-Chlorothiophenol,0103289-100G,99% puriss for synthesis [106-54-7],H1B1465,A1D1C1468,,100G," 2,500.00 "
4-Chlorothiophenol,0103289-500G,99% puriss for synthesis [106-54-7],H1B1466,A1D1C1469,,500G," 9,800.00 "
2-CHLOROTOLUENE,0103193-250ML,99% puriss for synthesis,H1B1467,A1D1C1470,,250ML, 445.00 
2-CHLOROTOLUENE,0103193-1000ML,99% puriss for synthesis,H1B1468,A1D1C1471,,1000ML," 1,575.00 "
2-CHLOROTOLUENE,0103193-2500ML,99% puriss for synthesis,H1B1469,A1D1C1472,,2500ML," 3,800.00 "
3-CHLOROTOLUENE,0103197-250ML,99% puriss for synthesis,H1B1470,A1D1C1473,,250ML," 1,300.00 "
3-CHLOROTOLUENE,0103197-1000ML,99% puriss for synthesis,H1B1471,A1D1C1474,,1000ML," 4,400.00 "
4-CHLOROTOLUENE,0103201-250ML,99% puriss for synthesis,H1B1472,A1D1C1475,,250ML, 400.00 
4-CHLOROTOLUENE,0103201-1000ML,99% puriss for synthesis,H1B1473,A1D1C1476,,1000ML," 1,300.00 "
5-Chlorouracil,0103292-5G,98% puriss for synthesis [1820-81-1],H1B1474,A1D1C1477,,5G," 2,100.00 "
5-Chlorouracil,0103292-25G,98% puriss for synthesis [1820-81-1],H1B1475,A1D1C1478,,25G," 7,800.00 "
6-Chlorouracil,0103295-5G,98% puriss for synthesis [4270-27-3],H1B1476,A1D1C1479,,5G, 615.00 
6-Chlorouracil,0103295-25G,98% puriss for synthesis [4270-27-3],H1B1477,A1D1C1480,,25G," 2,200.00 "
6-Chlorouracil,0103295-100G,98% puriss for synthesis [4270-27-3],H1B1478,A1D1C1481,,100G," 7,900.00 "
4-CHLORO-o-XYLENE,0103238-25G,98% puriss for synthesis,H1B1479,A1D1C1482,,25G," 2,000.00 "
4-CHLORO-o-XYLENE,0103238-100G,98% puriss for synthesis,H1B1480,A1D1C1483,,100G," 7,000.00 "
CHOLESTEROL,0103146-25G,95% puriss for biochemistry,H1B1481,A1D1C1484,,25G," 1,200.00 "
CHOLESTEROL,0103146-100G,95% puriss for biochemistry,H1B1482,A1D1C1485,,100G," 5,500.00 "
CHOLESTEROL METHANE SULPHONATE,0103149-1G,95+%,H1B1483,A1D1C1486,,1G," 1,100.00 "
CINCHONINE ANHYDROUS,0103261-25G,99% puriss  [118-10-5],H1B1484,A1D1C1487,,25G," 3,000.00 "
CINCHONINE ANHYDROUS,0103261-100G,99% puriss  [118-10-5],H1B1485,A1D1C1488,,100G," 11,000.00 "
CINCHONINE HCL,0103262-10G,99% puriss  [312695-48-0],H1B1486,A1D1C1489,,10G," 2,000.00 "
CINCHONINE HCL,0103262-25G,99% puriss  [312695-48-0],H1B1487,A1D1C1490,,25G," 4,000.00 "
CINCHONINE HCL,0103262-100G,99% puriss  [312695-48-0],H1B1488,A1D1C1491,,100G," 12,500.00 "
TRANS-CINNAMALDEHYDE,0103233-500G,98% puriss for synthesis,H1B1489,A1D1C1492,,500G, 760.00 
CINNAMIC ACID,0103154-250G,99% (Trans-3-phenylacrylic acid),H1B1490,A1D1C1493,,250G, 710.00 
CINNAMIC ACID,0103154-1000G,99% (Trans-3-phenylacrylic acid),H1B1491,A1D1C1494,,1000G," 2,575.00 "
CINNAMONITRILE,0103263-25G,97% puriss for synthesis [1885-38-7],H1B1492,A1D1C1495,,25G, 550.00 
CINNAMONITRILE,0103263-100G,97% puriss for synthesis [1885-38-7],H1B1493,A1D1C1496,,100G," 1,900.00 "
CINNAMONITRILE,0103263-500G,97% puriss for synthesis [1885-38-7],H1B1494,A1D1C1497,,500G," 8,500.00 "
CITRACONIC ANHYDRIDE,0103357-25G,98% puriss for synthesis [616-02-4],H1B1495,A1D1C1498,,25G," 1,100.00 "
CITRACONIC ANHYDRIDE,0103357-100G,98% puriss for synthesis [616-02-4],H1B1496,A1D1C1499,,100G," 3,300.00 "
CITRACONIC ANHYDRIDE,0103357-500G,98% puriss for synthesis [616-02-4],H1B1497,A1D1C1500,,500G," 9,200.00 "
CITRAL,010329-100ML,97%,H1B1498,A1D1C1501,,100ML, 495.00 
CITRAL,010329-500ML,97%,H1B1499,A1D1C1502,,500ML," 2,310.00 "
CITRIC ACID ANHYDROUS,0103264-500G,puriss AR [77-92-9],H1B1500,A1D1C1503,,500G, 555.00 
CITRIC ACID MONOHYDRATE,010339-500G,puriss for synthesis,H1B1501,A1D1C1504,,500G, 280.00 
CITRIC ACID MONOHYDRATE,0103204-500G,puriss AR,H1B1502,A1D1C1505,,500G, 540.00 
"CITRIC ACID MONOHYDRATE ACS,",110303-500G,ISO,H1B1503,A1D1C1506,,500G, 600.00 
CITRONELLOL,010337-100ML,95%,H1B1504,A1D1C1507,,100ML, 850.00 
CITRONELLOL,010337-500ML,95%,H1B1505,A1D1C1508,,500ML," 3,000.00 "
CLOVE OIL,0103176-100ML,for microscopy,H1B1506,A1D1C1509,,100ML, 425.00 
CLOVE OIL,0103176-500ML,for microscopy,H1B1507,A1D1C1510,,500ML," 2,000.00 "
COBALT (II) ACETATE extrapure,010335-500G,for synthesis,H1B1508,A1D1C1511,,500G," 3,575.00 "
COBALTOUS PERCHLORATE HEXAHYDRATE,0103155-25G,,H1B1509,A1D1C1512,,25G," 4,600.00 "
COCKTAIL M,0303101-2500ML,for SCINTILLATION,H1B1510,A1D1C1513,,2500ML," 1,298.00 "
COCKTAIL M,0303101-4x2500ML,for SCINTILLATION,H1B1511,A1D1C1514,,4x2500ML," 5,170.00 "
COCKTAIL O,030398-2500ML,for SCINTILLATION,H1B1512,A1D1C1515,,2500ML," 1,550.00 "
COCKTAIL O,030398-4x2500ML,for SCINTILLATION,H1B1513,A1D1C1516,,4x2500ML," 5,500.00 "
COCKTAIL T,030399-2500ML,for SCINTILLATION,H1B1514,A1D1C1517,,2500ML," 1,650.00 "
COCKTAIL T,030399-4x2500ML,for SCINTILLATION,H1B1515,A1D1C1518,,4x2500ML," 5,500.00 "
COCKTAIL W,0303100-2500ML,for SCINTILLATION,H1B1516,A1D1C1519,,2500ML," 3,400.00 "
COCKTAIL W,0303100-4x2500ML,for SCINTILLATION,H1B1517,A1D1C1520,,4x2500ML," 12,000.00 "
"2,3,5-COLLIDINE",0103318-25G,99% puriss for synthesis [695-98-7],H1B1518,A1D1C1521,,25G," 2,500.00 "
"2,3,5-COLLIDINE",0103318-100G,99% puriss for synthesis [695-98-7],H1B1519,A1D1C1522,,100G," 9,000.00 "
COPPER POWDER (fine),010325-250G,99.5% puriss AR,H1B1520,A1D1C1523,,250G," 2,250.00 "
Copper(I)Bromide,0103307-100G,98% puriss for synthesis [7787-70-4],H1B1521,A1D1C1524,,100G, 875.00 
Copper(I)Bromide,0103307-500G,98% puriss for synthesis [7787-70-4],H1B1522,A1D1C1525,,500G," 3,600.00 "
COPPER(I)BROMIDE-DIMETHYLSULFIDE COMPLEX,0103366-10G,99% puriss for synthesis [54678-23-8],H1B1523,A1D1C1526,,10G," 2,000.00 "
COPPER(I)BROMIDE-DIMETHYLSULFIDE COMPLEX,0103366-50G,99% puriss for synthesis [54678-23-8],H1B1524,A1D1C1527,,50G," 9,000.00 "
COPPERCHROMITE Catalyst (Barium Promoted),0103114-100G,for synthesis,H1B1525,A1D1C1528,,100G, 880.00 
COPPERCHROMITE Catalyst (Barium Promoted),0103114-500G,for synthesis,H1B1526,A1D1C1529,,500G," 4,200.00 "
COPPER (II) ETHYLHEXANOATE solution (Cu content ~8%),0103345-25G,puriss for synthesis [149-11-1],H1B1527,A1D1C1530,,25G," 1,800.00 "
COPPER (II) ETHYLHEXANOATE solution (Cu content ~8%),0103345-100G,puriss for synthesis [149-11-1],H1B1528,A1D1C1531,,100G," 6,000.00 "
Copper(I)Iodide,0103308-100G,99% puriss for synthesis [7681-65-4],H1B1529,A1D1C1532,,100G," 1,850.00 "
Copper(I)Iodide,0103308-500G,99% puriss for synthesis [7681-65-4],H1B1530,A1D1C1533,,500G," 8,500.00 "
COPPER TRIFLUOROMETHANESULPHONATE,0103265-1G,98% puriss for synthesis [34946-82-2],H1B1531,A1D1C1534,,1G, 700.00 
COPPER TRIFLUOROMETHANESULPHONATE,0103265-5G,98% puriss for synthesis [34946-82-2],H1B1532,A1D1C1535,,5G," 3,000.00 "
COPPER TRIFLUOROMETHANESULPHONATE,0103265-25G,98% puriss for synthesis [34946-82-2],H1B1533,A1D1C1536,,25G," 11,000.00 "
CREATININE,0103178-25G,puriss CHR,H1B1534,A1D1C1537,,25G, 625.00 
CREATININE,0103178-100G,puriss CHR,H1B1535,A1D1C1538,,100G," 1,650.00 "
O-CRESOLPHTHALENE,010347-5G,AR,H1B1536,A1D1C1539,,5G, 128.00 
O-CRESOLPHTHALENE,010347-25G,AR,H1B1537,A1D1C1540,,25G, 500.00 
O-CRESOLPHTHALENE COMPLEXONE,010351-1G,puriss AR,H1B1538,A1D1C1541,,1G," 1,100.00 "
O-CRESOLPHTHALENE COMPLEXONE,010351-5G,puriss AR,H1B1539,A1D1C1542,,5G," 3,300.00 "
